Nome	Código	CNPJ	Segmento B3	Partic. IFIX %
FII Prologis	PBLV11	31962875000106	Tradicional	-
FII Quasar A	QAGR11	32754734000152	Tradicional	0,306
FII Quata	QIFF11	34736432000187	Tradicional	-
FII R Income	RBCO11	31894369000119	Tradicional	-
FII Rb Cap I	FIIP11B	8696175000197	Balcão Organizado	-
FII Rb Cfof	RFOF11	34027774000128	Tradicional	-
FII Rb Cri	RCRI11B	26511274000139	Balcão Organizado	-
FII Rb Gsb I	RBGS11	13652006000195	Tradicional	-
FII Rb II	RBRD11	9006914000134	Tradicional	-
FII Rb Tfo	RBTS11	29299737000139	Tradicional	-
FII Rbcap Ri	RRCI11	35689733000160	Tradicional	-
FII Rbcri IV	RBIV11	30647758000187	Tradicional	-
FII Rbr Des	RBRM11	26314437000193	Tradicional	-
FII Rbr Feed	RCFF11	35689670000141	Tradicional	-
FII Rbr Log	RBRL11	35705463000133	Tradicional	-
FII Rbr Pcri	RBRY11	30166700000111	Tradicional	-
FII Rbr Prop	RBRP11	21408063000151	Tradicional	1,308
FII Rbralpha	RBRF11	27529279000151	Tradicional	1,337
FII Rbres IV	RBIR11	31161410000148	Tradicional	-
FII Rbresid2	RBDS11	11945604000127	Tradicional	-
FII Rbresid3	RSPD11	19249989000108	Tradicional	-
FII Rbrhgrad	RBRR11	29467977000103	Tradicional	0,804
FII Rec Rece	RECR11	28152272000126	Tradicional	1,659
FII Rec Rend	RECT11	32274163000159	Tradicional	0,724
FII Reit Riv	REIT11	16841067000199	Tradicional	-
FII Riob Ed	RBED11	13873457000152	Tradicional	0,349
FII Riob Ff	RBFF11	17329029000114	Tradicional	0,299
FII Riob Rc	RCRB11	3683056000186	Tradicional	0,635
FII Riob Rr	RBRS11	36517660000191	Tradicional	-
FII Riob Va	RBVA11	15576907000170	Tradicional	1,438
FII Riobcri2	RBVO11	15769670000144	Tradicional	-
FII Rionegro	RNGO11	15006286000190	Tradicional	0,197
FII Riza Akn	RZAK11	36642219000131	Tradicional	-
FII Riza Tx	RZTR11	36501128000186	Tradicional	-
FII S F Lima	FLMA11	4141645000103	Tradicional	0,223
FII Sant Pap	SADI11	32903521000145	Tradicional	0,267
FII Sant Ren	SARE11	32903702000171	Tradicional	0,582
FII Sao Fer	SFND11	9350920000104	Tradicional	-
FII Sc 401	FISC11	12804013000100	Tradicional	-
FII Scp	SCPF11	1657856000105	Tradicional	-
FII Sdi Log	SDIL11	16671412000193	Tradicional	0,724
FII Sequoia	SEQR11	9517273000182	Tradicional	-
FII Shop Pdp	SHDP11B	7224019000160	Balcão Organizado	-
FII Shopjsul	JRDM11	14879856000193	Tradicional	-
FII Sia Corp	SAIC11B	17311079000174	Balcão Organizado	-
FII Solarium	SOLR11	22169671000113	Tradicional	-
FII SP Downt	SPTW11	15538445000105	Tradicional	0,162
FII Spa	SPAF11	18311024000127	Tradicional	-
FII Starx	STRX11	11044355000107	Tradicional	-
FII Tboffice	TBOF11	17365105000147	Tradicional	-
FII Tel Prop	TEPP11	26681370000125	Tradicional	0,400
FII Tg Ativo	TGAR11	25032881000153	Tradicional	1,111
FII The One	ONEF11	12948291000123	Tradicional	-
FII Torde Ei	TORD11	30230870000118	Tradicional	0,322
FII Torre Al	ALMI11	7122725000100	Tradicional	-
FII Torre no	TRNT11	4722883000102	Tradicional	-
FII Tour II	TOUR11	30578316000126	Tradicional	-
FII Tour II	TOUR13	30578316000126	Tradicional	-
FII Tour II	TOUR12	30578316000126	Tradicional	-
FII Tourmale	TORM13	26395660000102	Tradicional	-
FII Transinc	TSNC11	17007443000107	Tradicional	-
FII Treecorp	TCPF11	26990011000150	Tradicional	-
FII Trx R II	TRXB11	36368925000137	Tradicional	-
FII Trx Real	TRXF11	28548288000152	Tradicional	0,673
FII Trxe Cor	XTED11	15006267000163	Tradicional	-
FII Urca Ren	URPR11	34508872000187	Tradicional	-
FII V Master	VOTS11	17870926000130	Tradicional	-
FII V Parque	FVPQ11	332266000131	Tradicional	-
FII V2 Prop	VVPR11	33045581000137	Tradicional	-
FII Valoraip	VGIP11	34197811000146	Tradicional	0,443
FII Valrelll	VGIR11	29852732000191	Tradicional	0,438
FII Vbi Con	EVBI11	34691520000100	Tradicional	-
FII Vbi Cri	CVBI11	28729197000113	Tradicional	0,657
FII Vbi Log	LVBI11	30629603000118	Tradicional	1,525
FII Vbi Pri	PVBI11	35652102000176	Tradicional	1,050
FII Vbi Reit	RVBI11	35507457000171	Tradicional	0,151
FII Vectis	VCJR11	32400250000105	Tradicional	0,674
FII Vereda	VERE11	8693497000182	Tradicional	-
FII Vidanova	FIVN11	17854016000164	Tradicional	-
FII Vinc Cor	VINO11	12516185000170	Tradicional	0,872
FII Vinci If	VIFI11	31547855000160	Tradicional	-
FII Vinci Sc	VISC11	17554274000125	Tradicional	1,799
FII Vincilog	VILG11	24853044000122	Tradicional	1,911
FII Vot Log	VTLT11	27368600000163	Tradicional	0,270
FII Vot Sec	VSEC11	10347505000180	Tradicional	-
FII Vot Shop	VSHO11	23740595000117	Tradicional	-
FII Vq Lajes	VLJS12	13842683000176	Tradicional	-
FII Vq Lajes	VLJS11	13842683000176	Tradicional	-
FII Vx Xvi	VXXV11	30982974000189	Tradicional	-
FII W Plaza	WPLZ11	9326861000139	Tradicional	-
FII Wtc SP	WTSP11B	28693595000127	Balcão Organizado	-
FII Xp Cred	XPCI11	28516301000191	Tradicional	0,685
FII Xp Hot	XPHT11	18308516000163	Tradicional	-
FII Xp Hot	XPHT12	18308516000163	Tradicional	-
FII Xp Indl	XPIN11	28516325000140	Tradicional	0,832
FII Xp Log	XPLG11	26502794000185	Tradicional	3,450
FII Xp Macae	XPCM11	16802320000103	Tradicional	0,102
FII Xp Malls	XPML11	28757546000100	Tradicional	2,218
FII Xp Prop	XPPR11	30654849000140	Tradicional	0,563
FII Xp Selec	XPSF11	30983020000190	Tradicional	0,463
Reagmult FII	RMAI11	17374696000119	Tradicional	-
FII Afinvcr	AFCR12	32065364000146	Tradicional	-
FII Barigui	BARI12	29267567000100	Tradicional	-
FII Bluecap	BLCP12	35652060000173	Tradicional	-
FII Bre Vic	BREV12	26195121000120	Tradicional	-
FII Capi Sec	CPTS12	18979895000113	Tradicional	-
FII Devant	DEVA12	37087810000137	Tradicional	-
FII Ggr Covep	GGRC12	26614291000100	Tradicional	-
FII Hatrium	ATSA12	12809972000100	Tradicional	-
FII Hectare	HCTR12	30248180000196	Tradicional	-
FII Merito I	MFII12	16915968000188	Tradicional	-
FII Mogno HG	MGCR12	35652204000191	Tradicional	-
FII Mogno Ht	MGHT12	34197776000165	Tradicional	-
FII More Re	MORE12	34197727000122	Tradicional	-
FII Nch Bra	NCHB12	18085673000157	Tradicional	-
FII Ouri Jpp	OUJP12	26091656000150	Tradicional	-
FII Rbr Log	RBRL12	35705463000133	Tradicional	-
FII Rbr Pcri	RBRY12	30166700000111	Tradicional	-
FII Rbr Prop	RBRP12	21408063000151	Tradicional	-
FII Rbralpha	RBRF12	27529279000151	Tradicional	-
FII Rec Log	RELG11	37112770000136	Tradicional	-
FII Rec Log	RELG12	37112770000136	Tradicional	-
FII Rec Rece	RECR12	28152272000126	Tradicional	-
FII Riob Ff	RBFF12	17329029000114	Tradicional	-
FII Sdi Log	SDIL12	16671412000193	Tradicional	-
FII Sequoia	SEQR12	9517273000182	Tradicional	-
FII Starx	STRX12	11044355000107	Tradicional	-
FII Tel Prop	TEPP12	26681370000125	Tradicional	-
FII Tg Ativo	TGAR12	25032881000153	Tradicional	-
FII Torde Ei	TORD12	30230870000118	Tradicional	-
FII Trx Real	TRXF12	28548288000152	Tradicional	-
FII Urca Ren	URPR12	34508872000187	Tradicional	-
FII Vbi Cri	CVBI12	28729197000113	Tradicional	-
FII Vincilog	VILG12	24853044000122	Tradicional	-
FII Xp Log	XPLG12	26502794000185	Tradicional	-
